Log ID: 114 | User: admintest | Updated object: newuser | Action: DELETE | Details: 2025-04-07 12:04:55 | Time: Deleted user
Log ID: 113 | User: admintest | Updated object: newuser | Action: ADD | Details: 2025-04-07 12:04:43 | Time: New user added
Log ID: 112 | User: admintest | Updated object: usertest | Action: UPDATE | Details: 2025-04-07 12:04:17 | Time: Set user role to Viewer
Log ID: 111 | User: admintest | Updated object: item test | Action: DELETE | Details: 2025-04-07 12:03:52 | Time: Deleted item
Log ID: 110 | User: admintest | Updated object: item test | Action: ADD | Details: 2025-04-07 12:03:44 | Time: Added item to inventory
Log ID: 109 | User: admintest | Updated object: Zofran | Action: UPDATE | Details: 2025-04-07 12:03:22 | Time: Description set to New description
Log ID: 108 | User: admintest | Updated object: Zofran | Action: UPDATE | Details: 2025-04-07 12:03:10 | Time: Minimum threshold set to 5
Log ID: 107 | User: admintest | Updated object: Zofran | Action: UPDATE | Details: 2025-04-07 12:03:02 | Time: Expiration date set to 2025-01-01
Log ID: 106 | User: admintest | Updated object: Zofran | Action: UPDATE | Details: 2025-04-07 12:02:44 | Time: Quantity set to 50
Log ID: 105 | User: admintest | Updated object: Zofran | Action: UPDATE | Details: 2025-04-07 12:02:30 | Time: Quantity decreased by 5
Log ID: 104 | User: admintest | Updated object: Zofran | Action: UPDATE | Details: 2025-04-07 12:02:15 | Time: Quantity increased by 5
Log ID: 103 | User: admintest | Updated object: admintest | Action: LOGIN | Details: 2025-04-07 12:02:00 | Time: Logged in
Log ID: 102 | User: admintest | Updated object: admintest | Action: LOGIN | Details: 2025-04-07 11:53:40 | Time: Logged in
Log ID: 101 | User: admintest | Updated object: admintest | Action: UPDATE | Details: 2025-04-07 11:53:30 | Time: Changed password to pass
Log ID: 100 | User: admintest | Updated object: admintest | Action: LOGIN | Details: 2025-04-07 11:53:27 | Time: Logged in
Log ID: 99 | User: admintest | Updated object: admintest | Action: LOGIN | Details: 2025-04-07 11:53:23 | Time: Logged in
Log ID: 98 | User: admintest | Updated object: admintest | Action: LOGIN | Details: 2025-04-07 11:51:37 | Time: Logged in
Log ID: 97 | User: admintest | Updated object: admintest | Action: LOGIN | Details: 2025-04-07 11:51:33 | Time: Logged in
Log ID: 96 | User: admintest1 | Updated object: admintest1 | Action: UPDATE | Details: 2025-04-07 11:51:07 | Time: Changed username to admintest
Log ID: 95 | User: admintest1 | Updated object: admintest1 | Action: LOGIN | Details: 2025-04-07 11:51:03 | Time: Logged in
Log ID: 94 | User: admintest1 | Updated object: admintest1 | Action: LOGIN | Details: 2025-04-07 11:50:59 | Time: Logged in
